"FIRST-BOOK-DATE","03/27/2025"
"ASP","JFG","","05/19/2025","05/26/2025","54","RQ"
"BME","D5","","05/19/2025","05/26/2025","123","RQ"
"BME","DSANDS","","05/19/2025","05/26/2025","135","RQ"
"BME","JFG","","05/19/2025","05/26/2025","93","RQ"
"BNE","D5","","05/19/2025","05/26/2025","77","RQ"
"BNE","DSANDS","","05/19/2025","05/26/2025","122","RQ"
"BNE","JFG","","05/19/2025","05/26/2025","24","RQ"
"CNS","D5","","05/19/2025","05/26/2025","77","RQ"
"CNS","DSANDS","","05/19/2025","05/26/2025","122","RQ"
"CNS","JFG","","05/19/2025","05/26/2025","19","RQ"
"DWN","D5","","05/19/2025","05/26/2025","77","RQ"
"DWN","DSANDS","","05/19/2025","05/26/2025","123","RQ"
"DWN","JFG","","05/19/2025","05/26/2025","56","RQ"
"EXM","D5","","05/19/2025","05/26/2025","99","RQ"
"EXM","DSANDS","","05/19/2025","05/26/2025","135","RQ"
"EXM","JFG","","05/19/2025","05/26/2025","93","RQ"
"HBA","JFG","","05/19/2025","05/26/2025","32","RQ"
"MEL","D5","","05/19/2025","05/26/2025","77","RQ"
"MEL","DSANDS","","05/19/2025","05/26/2025","122","RQ"
"MEL","JFG","","05/19/2025","05/26/2025","36","RQ"
"PER","D5","","05/19/2025","05/26/2025","77","RQ"
"PER","DSANDS","","05/19/2025","05/26/2025","123","RQ"
"PER","JFG","","05/19/2025","05/26/2025","45","RQ"
"SYD","D5","","05/19/2025","05/26/2025","77","RQ"
"SYD","DSANDS","","05/19/2025","05/26/2025","122","RQ"
"SYD","JFG","","05/19/2025","05/26/2025","23","RQ"
"ADL","D5","","05/26/2025","06/02/2025","77","RQ"
"ADL","DSANDS","","05/26/2025","06/02/2025","127","RQ"
"ADL","JFG","","05/26/2025","06/02/2025","24","RQ"
"ASP","D5","","05/26/2025","06/02/2025","77","RQ"
"ASP","DSANDS","","05/26/2025","06/02/2025","122","RQ"
"ASP","JFG","","05/26/2025","06/02/2025","54","RQ"
